product_id,product_name
1,Tata Salt
2,Apple iPhone 13
3,Maggi Noodles
4,Adidas Running T-Shirt
5,US Polo Casual Shirt
6,Maggie Noodles
7,Amul Butter
8,Samsung Galaxy S21
9,Ashirwad Wheat Flower
10,Maggi Noodles
11,Allen Solly Formal Shirt
12,Puma Sports Shorts
13,Nike Air Max Shoes
14,OnePlus 11
15,Boat Rockerz 450 Headphones
16,Redmi Note 12
17,Nike AirMax Shoes
18,Levi's Blue Jeans
19,US Polo Casual Shirt
20,Maggie Noodles
21,Nike AirMax Shoes
22,OnePlus 11
23,Maggi Noodles
24,Ashirwad Wheat Flower
25,OnePlus 11
26,Puma Sports Shorts
27,OnePlus 11
28,Levi's Blue Jeans
29,Fortune Sunflower Oil
30,Redmi Note 12
31,Boat Rockerz 450 Headphones
32,Fortune Sunflower Oil
33,Apple iPhone 14 Pro
34,Boat Rockerz 450 Headphones
35,Fortune Sunflower Oil
36,Dabur Honey
37,Boat Rockerz 450 Headphones
38,Nike AirMax Shoes
39,Apple iPhone 14
40,OnePlus 11
41,Redmi Note 12
42,Tata Salt
43,Maggie Noodles
44,Puma Sports Shorts
45,Adidas Running T-Shirt
46,Apple iPhone 14 Pro
47,Aashirvaad Wheat Flour
48,Allen Solly Formal Shirt
49,Tata Salt
50,Levi's Blue Jeans
51,Sony WH-1000XM5 Headphones
52,Apple iPhone 13
53,Maggie Noodles
54,Boat Rockerz 450 Headphones
55,Samsung Galaxy S21
56,Nike Air Max Shoes
57,Apple iPhone 14 Pro
58,Dabur Honey
59,Samzung Galaxy S21
60,Nike AirMax Shoes
61,Samzung Galaxy S21
62,OnePlus 11
63,OnePlus 11
64,Samsung Galaxy S21
65,Apple iPhone 14
66,Maggi Noodles
67,Boat Rockerz 450 Headphones
68,OnePlus 11
69,Amul Butter
70,Dabur Honey
71,Nike AirMax Shoes
72,Tata Salt
73,Samzung Galaxy S21
74,Puma Sports Shorts
75,Apple iPhone 14 Pro
76,Boat Rockerz 450 Headphones
77,Nike Air Max Shoes
78,Ashirwad Wheat Flower
